purchase_id,good_id,amount,was_in_recommended_goods
15495,34,2,False
42640,48,1,False
42640,36,1,False
42640,12,2,True
42640,35,1,True
66123,6,1,False
70221,28,1,True
4093,25,1,False
4093,36,1,True
4093,9,1,False
4093,68,1,False
20107,6,1,True
20107,17,1,False
20107,36,1,True
20107,10,2,True
20107,99,1,False
20107,29,1,True
20107,27,1,True
20107,53,1,False
20107,65,2,True
20107,61,1,False
20107,11,1,True
20107,52,1,True
20107,19,1,False
34611,44,1,True
34611,79,2,False
42994,37,1,True
50159,47,2,False
50159,71,1,False
50159,67,2,False
53126,80,1,False
53126,11,1,False
53126,9,3,False
186,55,1,False
186,13,1,False
186,27,1,True
186,9,1,False
30027,61,1,False
39237,1,1,False
49603,7,1,False
49603,27,1,False
49603,98,2,True
49603,76,1,False
49603,39,1,False
49603,4,2,False
1154,17,1,False
1154,81,1,True
1154,67,1,False
1154,5,1,False
1154,79,1,False
1154,27,1,True
1154,20,1,False
1154,39,2,False
1154,28,1,True
1154,50,1,True
1154,47,1,False
1154,35,1,False
19082,53,1,False
38103,43,1,True
52348,68,1,True
58344,29,1,True
74563,63,1,False
74563,13,1,False
74563,15,1,False
74563,39,2,True
74563,98,1,False
74563,99,1,True
74563,56,1,False
74563,41,1,False
16984,48,1,False
16984,43,1,True
29508,43,1,False
29508,37,1,True
39141,14,1,False
39141,8,2,False
39141,9,1,False
39141,73,1,False
39141,70,3,True
51436,91,1,False
51436,44,1,True
51436,26,1,False
51436,88,1,True
51436,81,1,False
51436,32,1,True
51436,33,1,False
51436,39,1,False
51436,62,1,False
55007,35,1,False
55007,8,3,False
55007,42,1,True
55007,4,1,False
55007,50,1,False
61403,50,1,False
61403,90,2,True
61403,11,1,True
61403,73,1,False
61403,76,1,True
61403,4,1,False
61403,83,1,True
61403,94,2,True
74021,91,1,False
74021,58,1,True
74021,64,1,False
74021,97,1,True
74021,25,1,False
74021,53,1,True
5937,3,3,False
5937,14,1,True
26494,24,1,True
39331,4,1,True
39331,39,1,True
39331,3,1,False
39331,64,1,False
39331,96,1,False
39331,66,1,False
39331,81,1,False
39331,22,1,False
15945,40,1,True
15945,30,1,False
15945,35,1,True
15945,76,1,True
42626,66,1,False
42626,44,1,True
42626,42,1,True
42626,76,1,False
42626,87,2,False
49088,4,2,False
49088,82,1,False
49088,1,1,True
49088,78,1,True
49088,84,1,False
49088,19,1,False
49088,74,2,False
49088,47,2,False
49088,65,1,False
68011,3,1,False
6291,76,2,False
6291,98,1,False
6291,2,2,False
6291,47,1,True
6291,34,1,False
13793,32,2,False
13793,38,1,False
21060,34,1,False
21060,61,1,False
21060,100,2,False
21060,29,1,False
21060,65,1,False
29561,24,1,False
32948,33,1,False
32948,16,2,False
32948,44,1,False
32948,17,1,False
32948,33,1,False
32948,36,1,False
42274,78,1,False
19110,26,1,True
28758,25,2,False
28758,22,2,True
28758,93,1,False
28758,12,1,False
28758,73,1,False
28758,4,1,False
28758,92,1,False
42616,56,1,True
42616,76,1,True
42616,48,1,False
42616,47,1,True
49024,47,2,False
49024,12,2,False
49024,74,1,False
49024,36,1,False
49024,81,2,False
49024,98,1,False
49024,69,1,False
49024,13,1,False
1576,41,1,True
14114,24,1,False
14114,1,1,False
14114,27,1,False
14114,38,1,False
14114,6,1,False
14114,66,1,True
14114,80,1,False
33583,36,1,True
33583,94,1,False
33583,72,1,False
33583,4,2,True
33583,33,1,False
33583,91,1,False
33583,70,2,False
41245,52,1,False
45864,53,1,False
45864,100,1,False
45864,31,1,False
62295,18,1,False
35281,59,1,False
35281,85,1,False
35281,49,1,False
35281,66,1,False
35281,37,2,True
35281,97,3,False
35281,44,1,False
35281,6,1,False
35281,89,2,False
35281,67,1,True
35281,65,1,True
35281,14,1,False
35281,19,1,False
46107,93,1,False
46107,62,1,False
55233,49,1,True
55233,99,1,True
55233,36,1,False
55233,27,1,False
55233,47,1,True
69951,22,1,False
69951,36,1,False
6241,97,1,True
6241,66,1,True
6241,92,1,False
10884,63,2,False
10884,51,1,True
10884,99,1,False
10884,68,1,False
10884,87,1,False
10884,95,1,False
10884,75,1,False
24584,83,1,False
34749,86,1,False
34749,46,1,False
34749,84,1,True
34749,12,1,False
34749,5,1,False
34749,39,1,True
34749,29,1,False
62489,9,1,True
62489,36,1,True
73824,55,1,True
73824,41,1,False
1616,65,1,False
1616,86,1,True
1616,67,1,True
18546,81,1,True
23579,97,1,False
23579,9,1,False
23579,47,1,False
23579,91,1,False
23579,87,1,True
23579,78,1,True
23579,93,1,False
23579,84,1,True
23579,42,3,False
23579,2,1,True
23579,67,1,False
23579,20,1,True
23579,41,1,True
37158,90,1,False
51825,3,1,False
51825,21,2,True
51825,73,1,True
51825,47,1,True
51825,14,2,True
51825,5,1,False
51825,19,2,False
51825,70,1,False
51825,36,1,False
51825,16,1,False
51825,68,1,False
51825,44,2,True
51825,92,1,True
51825,98,1,False
58312,30,1,False
58312,93,1,False
58312,46,1,False
58312,94,1,True
58312,60,1,False
58312,18,1,False
58312,13,1,False
58312,38,1,False
58312,99,1,False
69319,92,1,True
69319,90,1,True
941,11,1,True
20293,48,2,False
20293,52,1,True
20293,86,1,False
29492,89,1,False
41710,94,1,True
41710,52,1,True
41710,40,2,True
41710,73,3,False
41710,8,1,False
41710,99,1,True
41710,24,2,False
41710,56,1,False
41710,30,1,True
41710,71,1,False
41710,14,1,False
41710,90,1,False
50186,76,1,False
62962,28,1,False
62962,25,2,False
62962,83,1,True
62962,19,1,True
62962,67,1,True
62962,31,1,False
62962,75,1,False
62962,9,1,False
62962,69,1,False
62962,66,1,True
62962,68,1,False
62962,26,3,False
62962,60,1,False
69847,73,1,True
69847,99,1,False
69847,35,1,False
69847,28,1,False
69847,68,1,False
69847,91,1,False
69847,58,1,False
69847,56,3,True
69847,9,1,True
69847,75,1,False
69847,27,1,True
17172,25,2,False
17172,11,1,False
17172,13,1,False
17172,14,1,True
17172,79,1,True
17172,92,1,False
17172,71,1,True
17172,34,1,False
23547,28,1,False
50053,60,1,False
50053,68,2,False
50053,95,1,False
50053,81,1,True
50053,79,1,False
50053,90,1,False
50053,46,1,False
50053,4,1,False
50053,73,2,True
50053,80,2,False
59814,27,1,True
59814,76,1,True
59814,84,1,False
59814,42,1,False
12928,75,1,False
15279,3,1,False
41189,6,1,False
47822,27,1,False
47822,8,2,False
54868,72,1,False
54868,54,1,False
54868,86,2,True
54868,87,1,False
54868,37,1,False
54868,99,1,False
54868,35,1,False
54868,84,1,False
15849,83,1,True
15849,33,1,False
15849,48,1,False
15849,66,1,True
15849,86,1,False
15849,14,1,False
15849,51,1,True
41344,52,1,False
41344,93,2,False
53103,84,1,False
53103,75,1,True
53103,83,1,False
53103,3,1,False
53103,67,1,True
53103,25,1,True
53103,60,1,True
53103,62,1,False
53103,98,1,False
53103,50,2,False
53103,56,1,True
53103,11,1,False
67202,25,1,False
68767,67,1,False
68767,82,2,False
68767,53,2,False
18244,93,1,False
18244,72,1,False
18244,70,1,True
42587,9,1,False
46151,73,2,False
46151,31,1,False
46151,16,1,True
46151,61,2,True
46151,92,1,False
46151,76,1,True
59095,46,1,True
59095,52,1,False
66765,70,1,True
73496,42,2,False
73496,86,1,False
73496,91,1,False
73496,2,1,False
73496,17,1,False
73496,60,1,False
73496,52,1,False
73496,24,1,True
16929,73,1,False
36410,8,1,False
36410,9,1,True
42432,97,2,True
42432,26,1,False
42432,10,1,True
42432,37,1,False
42432,95,1,False
42432,28,1,False
46869,27,1,False
71136,50,1,False
71136,56,2,False
71136,66,1,False
71136,31,1,True
71136,73,2,False
1569,50,1,False
1569,30,1,True
1569,61,1,True
1569,35,1,True
1569,28,1,False
1569,93,2,False
1569,90,1,True
1569,27,1,False
1569,84,1,False
1569,86,1,False
29584,52,1,False
29584,87,1,True
29584,9,2,False
34603,27,1,False
34603,95,2,False
38641,42,1,False
45321,19,1,False
45321,65,1,False
45321,97,1,False
45321,94,1,False
58929,2,1,True
58929,30,1,False
58929,35,1,True
58929,8,1,True
58929,94,1,True
66632,21,1,False
66632,8,2,False
66632,57,2,False
66632,91,2,False
66632,35,1,False
66632,16,1,False
66632,86,1,True
73467,39,1,False
